id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,pos_src,dist_src,mag_src,pm_src,rv_src,spect_src
2451927,112436.0,240058.0,,,,,22.77500017,56.82543402,985.4119,1.513,-0.374,-16.3,10.4,0.432,B 5 V,0.065,511.717,-169.978,824.797,-4.96106919e-06,9.26148064e-06,-1.492922862e-05,5.962481095,0.9917909214,7.335231e-09,-1.8132032e-09,,,Lac,1,2451927,,,,,,T,G_R3,HIP,G_R3,G_R3,T
407344,25350.0,35737.0,,,,,5.42197295,-34.84743596,246.0989,-1.792,10.244,10.742,7.31,0.354,G5 III/IV,0.84,30.447,199.659,-140.619,4.52540325e-06,1.54937535e-05,3.7532723e-06,1.419469197,-0.6082024927,-8.6878612e-09,4.96643134e-08,,,Col,1,407344,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1139625,53307.0,94528.0,,,,,10.90326764,-40.20989309,416.2842,-20.04,2.598,-28.239,8.9,0.803,G8 III,1.027,-304.895,90.03,-268.749,2.935938452e-05,3.350127902e-05,2.264849274e-05,2.85446879,-0.7017950255,-9.71566616e-08,1.25954594e-08,,,Ant,1,1139625,,,,,,T,G_R3,HIP,G_R3,G_R3,T
137179,8458.0,,,,,,1.81798494,66.785113,433.7915,16.936,-14.54,-2.947,9.17,0.984,K2,,151.988,78.345,398.669,7.60472284e-06,4.398998766e-05,-1.482389155e-05,0.4759473438,1.165620112,8.21080449e-08,-7.04919092e-08,,,Cas,1,137179,,,,,,T,G_R3,HIP,G_R3,G_R3,T
22182,1324.0,1230.0,,,,,0.27727299,-4.97764917,149.1154,7.308,5.492,-49.527,9.61,3.742,G3/5 V,0.587,148.162,10.774,-12.938,-5.036645981e-05,1.63425862e-06,8.35026385e-06,0.07258989895,-0.08687636693,3.54301838e-08,2.66259673e-08,,,Psc,1,22182,,,,,,T,G_R3,HIP,G_R3,G_R3,T
218344,13534.0,18610.0,,,,,2.90500045,-73.45276059,263.9131,-7.563,0.237,,8.17,1.063,AP EUCRSR,0.343,54.454,51.811,-252.983,6.88065832e-06,-6.81009271e-06,8.590596e-08,0.7605273385,-1.281992516,-3.66664587e-08,1.1490084e-09,,,Hyi,1,218344,,,,,,T,G_R3,HIP,G_R3,N,T
1287436,61848.0,110159.0,,,,,12.67562179,-48.10602087,305.1337,-19.843,-8.334,-3.522,8.26,0.838,K3 III,1.367,-200.575,-35.852,-227.136,6.23636362e-06,3.093330443e-05,-5.55116132e-06,3.318470021,-0.8396084533,-9.62015786e-08,-4.04043721e-08,,,Cen,1,1287436,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1393089,68290.0,122132.0,,,,,13.97936061,46.59624076,477.2157,-12.726,-4.42,-62.231,6.98,-1.414,M2III,1.659,-284.862,-162.419,346.711,1.695210944e-05,4.355841248e-05,-5.326578596e-05,3.659788045,0.8132578194,-6.1697389e-08,-2.14287647e-08,,,CVn,1,1393089,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1737627,85972.0,159091.0,,,,,17.57060585,-35.73372891,404.8379,-4.327,-9.028,,7.61,-0.426,B7 III,0.137,-36.864,-326.549,-236.433,-7.27848473e-06,1.123527234e-05,-1.438311216e-05,4.59997385,-0.6236712228,-2.0977888e-08,-4.37689791e-08,,,Sco,1,1737627,,,,,,T,G_R3,HIP,G_R3,N,T
998774,46687.0,82214.0,,,,,9.51804899,11.85858995,281.8739,0.714,0.96,-3.772,8.6,1.35,K0,0.98,-219.644,166.896,57.924,2.63035868e-06,-3.22351888e-06,4.908912e-07,2.491819396,0.206971439,3.4615697e-09,4.6542113e-09,,,Leo,1,998774,,,,,,T,G_R3,HIP,G_R3,G_R3,T
